Filename;Peak Nr;Component;Master Peak;Ref  Name;Start (s);Rt (s);End (s);Width (s);Ampl  44 (mV);Ampl  45 (mV);Ampl  46 (mV);BGD 44 (mV);BGD 45 (mV);BGD 46 (mV);Area All (Vs);Area 44 (Vs);Area 45 (Vs);Area 46 (Vs);rArea All (mVs);rArea 44 (mVs);rArea 45 (mVs);rArea 46 (mVs);R 45CO2/44CO2;rR 45CO2/44CO2;rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 45CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 45CO2/44CO2 (‰);R 46CO2/44CO2;rR 46CO2/44CO2;rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 46CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 46CO2/44CO2 (‰);R 13C/12C;d 13C/12C (per mil) vs  VPDB;AT% 13C/12C (%);R 18O/16O;d 18O/16O (per mil) vs  VSMOW;AT% 18O/16O (%);R 17O/16O;d 17O/16O
53__273439_b4568_FAME BPX70_met.cf;35; -; -;CO2 Lab.Tank;2814.4;2821.3;2828.8;14.3;47;53;64;13.1;15.3;19.0;0.291;0.286;0.003;0.001;1000;286;325;389;0.0114921;1.1347472;-23.015;-41.112; -;0.0038123;1.3569111;-18.646;-51.565; -;0.0107091;-42.133;1.059568;0.0019019;-51.528;0.189827;0.0003915;-9.648
53__273439_b4568_FAME BPX70_met.cf;36; -; -;CO2 Lab.Tank;2874.2;2892.9;2905.7;31.5;103;116;140;13.1;15.3;19.0;0.829;0.817;0.009;0.003;2855;817;930;1108;0.0115261;1.1381041;-20.125;-38.275; -;0.0038123;1.3569214;-18.639;-51.557; -;0.0107431;-39.092;1.062896;0.0019019;-51.527;0.189827;0.0003915;-9.648
53__273439_b4568_FAME BPX70_met.cf;37; -; -;CO2 Lab.Tank;2948.9;2958.7;2965.1;16.2;23;26;31;14.8;17.2;21.4;0.149;0.147;0.002;0.001;513;147;167;199;0.0115346;1.1389359;-19.409;-37.572; -;0.0038053;1.3544392;-20.434;-53.293; -;0.0107523;-38.272;1.063793;0.0018984;-53.266;0.189479;0.0003911;-10.585
53__273439_b4568_FAME BPX70_met.cf;38; -; -;CO2 Lab.Tank;3021.6;3029.8;3036.4;14.9;24;28;33;16.3;18.9;23.2;0.153;0.151;0.002;0.001;531;151;174;206;0.0116991;1.1551786;-5.425;-23.847; -;0.0038389;1.3663760;-11.801;-44.949; -;0.0109133;-23.875;1.079545;0.0019151;-44.945;0.191142;0.0003929;-6.107
53__273439_b4568_FAME BPX70_met.cf;39; -; -;CO2 Lab.Tank;3043.6;3052.3;3058.4;14.8;131;150;178;16.3;18.9;23.2;0.849;0.836;0.010;0.003;2935;836;962;1137;0.0116563;1.1509531;-9.063;-27.417; -;0.0038187;1.3591750;-17.009;-49.982; -;0.0108726;-27.512;1.075567;0.0019050;-49.976;0.190137;0.0003918;-8.812
53__273439_b4568_FAME BPX70_met.cf;40; -; -;CO2 Lab.Tank;3058.4;3062.5;3076.9;18.5;37;43;51;16.3;18.9;23.2;0.353;0.348;0.004;0.001;1224;348;400;475;0.0116528;1.1506092;-9.359;-27.708; -;0.0038382;1.3661300;-11.979;-45.121; -;0.0108671;-28.008;1.075024;0.0019147;-45.108;0.191109;0.0003929;-6.195
53__273439_b4568_FAME BPX70_met.cf;41; -; -;CO2 Lab.Tank;3212.4;3223.2;3231.4;19.0;45;52;61;17.1;19.8;24.4;0.416;0.409;0.005;0.002;1434;409;470;555;0.0116318;1.1485367;-11.143;-29.459; -;0.0038092;1.3558260;-19.431;-52.323; -;0.0108491;-29.611;1.073270;0.0019003;-52.315;0.189669;0.0003913;-10.072
53__273439_b4568_FAME BPX70_met.cf;42; -; -;CO2 Lab.Tank;3340.2;3349.3;3360.5;20.3;626;703;848;21.8;25.3;30.9;3.528;3.475;0.039;0.014;12116;3475;3929;4713;0.0114510;1.1306820;-26.515;-44.547; -;0.0038108;1.3563673;-19.040;-51.945; -;0.0106681;-45.801;1.055553;0.0019011;-51.900;0.189752;0.0003914;-9.849
53__273439_b4568_FAME BPX70_met.cf;43; -; -;CO2 Lab.Tank;3366.4;3378.9;3390.9;24.6;47;54;64;21.8;25.3;30.9;0.581;0.572;0.007;0.002;2005;572;656;777;0.0116226;1.1476274;-11.926;-30.228; -;0.0038146;1.3577284;-18.055;-50.993; -;0.0108394;-30.486;1.072313;0.0019030;-50.981;0.189936;0.0003916;-9.354
53__273439_b4568_FAME BPX70_met.cf;44; -; -;CO2 Lab.Tank;3506.8;3511.4;3517.6;10.8;45;52;61;29.2;33.8;40.9;0.040;0.040;0.000;0.000;145;40;49;57;0.0124606;1.2303760;59.318;39.697; -;0.0040655;1.4470215;46.524;11.419; -;0.0116513;42.134;1.151708;0.0020279;11.337;0.202383;0.0004047;23.696
53__273439_b4568_FAME BPX70_met.cf;45; -; -;CO2 Lab.Tank;3571.8;3611.6;3615.5;43.7;1424;1653;1969;0.2;0.3;1.3;56.197;55.324;0.643;0.229;196077;55324;64258;76494;0.0117629;1.1614801;0.001;-18.522; -;0.0038846;1.3826500;-0.031;-33.574; -;0.0109723;-18.598;1.085319;0.0019379;-33.569;0.193414;0.0003953;-0.016
53__273439_b4568_FAME BPX70_met.cf;46; -; -;CO2 Lab.Tank;3671.1;3711.5;3715.6;44.4;1427;1657;1973;0.2;0.3;1.3;57.278;56.389;0.655;0.234;199843;56389;65491;77963;0.0117622;1.1614178;-0.053;-18.574; -;0.0038845;1.3826011;-0.067;-33.608; -;0.0109717;-18.653;1.085258;0.0019378;-33.603;0.193407;0.0003953;-0.034
