Filename,Peak Nr,Component,Master Peak,Ref  Name,Start (s),Rt (s),End (s),Width (s),Ampl  44 (mV),Ampl  45 (mV),Ampl  46 (mV),BGD 44 (mV),BGD 45 (mV),BGD 46 (mV),Area All (Vs),Area 44 (Vs),Area 45 (Vs),Area 46 (Vs),rArea All (mVs),rArea 44 (mVs),rArea 45 (mVs),rArea 46 (mVs),R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 45CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 45CO2/44CO2 (‰),R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 46CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 46CO2/44CO2 (‰),R 13C/12C,d 13C/12C (per mil) vs  VPDB,AT% 13C/12C (%),R 18O/16O,d 18O/16O (per mil) vs  VSMOW,AT% 18O/16O (%),R 17O/16O,d 17O/16O
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,28, -, -,CO2 Lab.Tank,2020.3,2032.4,2046.9,26.6,100,132,134,5.4,7.7,8.4,1.202,1.182,0.016,0.005,4337,1182,1571,1585,0.0135635,1.3292298,153.438,131.718, -,0.0038138,1.3406974,-18.257,-51.189, -,0.0127805,143.137,1.261922,0.0019018,-51.556,0.189821,0.0003915,-9.663
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,29, -, -,CO2 Lab.Tank,2046.9,2053.1,2067.0,20.0,41,96,55,5.4,7.7,8.4,0.344,0.335,0.008,0.001,1547,335,761,451,0.0231970,2.2733177,972.669,935.523, -,0.0038290,1.3460268,-14.355,-47.418, -,0.0224132,1004.720,2.192184,0.0019056,-49.661,0.190199,0.0003919,-8.643
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,30, -, -,CO2 Lab.Tank,2071.9,2089.3,2097.7,25.8,128,166,172,5.4,7.7,8.4,1.013,0.996,0.013,0.004,3624,996,1292,1336,0.0132286,1.2964141,124.962,103.778, -,0.0038140,1.3407591,-18.212,-51.146, -,0.0124456,113.183,1.229261,0.0019020,-51.447,0.189843,0.0003915,-9.605
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,31, -, -,CO2 Lab.Tank,2097.7,2108.4,2126.5,28.8,562,857,753,5.4,7.7,8.4,4.617,4.531,0.068,0.018,17410,4531,6811,6068,0.0153394,1.5032764,304.467,279.903, -,0.0038102,1.3394184,-19.194,-52.095, -,0.0145570,302.035,1.434814,0.0018993,-52.808,0.189571,0.0003912,-10.338
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,32, -, -,CO2 Lab.Tank,2129.1,2140.4,2147.6,18.5,14,29,19,5.4,7.7,8.5,0.179,0.175,0.003,0.001,741,175,331,235,0.0192741,1.8888797,639.073,608.209, -,0.0038110,1.3396961,-18.990,-51.898, -,0.0184919,653.991,1.815621,0.0018982,-53.378,0.189457,0.0003911,-10.645
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,33, -, -,CO2 Lab.Tank,2192.3,2203.1,2213.1,20.8,46,54,62,6.6,9.6,10.0,0.351,0.345,0.004,0.001,1218,345,408,465,0.0120471,1.1806234,24.485,5.193, -,0.0038252,1.3447068,-15.321,-48.352, -,0.0112628,7.387,1.113735,0.0019081,-48.420,0.190447,0.0003922,-7.975
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,34, -, -,CO2 Lab.Tank,2217.0,2225.7,2240.5,23.5,128,145,171,6.6,9.6,10.0,0.957,0.941,0.012,0.004,3418,941,1216,1262,0.0131856,1.2921949,121.301,100.186, -,0.0038150,1.3411360,-17.936,-50.879, -,0.0124024,109.321,1.225050,0.0019026,-51.172,0.189898,0.0003916,-9.456
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,35, -, -,CO2 Lab.Tank,2403.0,2415.6,2426.1,23.1,57,74,76,6.0,8.9,9.3,0.460,0.452,0.006,0.002,1632,452,575,605,0.0129908,1.2731065,104.737,83.934, -,0.0038072,1.3383603,-19.969,-52.843, -,0.0122085,91.973,1.206123,0.0018987,-53.100,0.189513,0.0003912,-10.496
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,36, -, -,CO2 Lab.Tank,2444.2,2455.5,2460.7,16.5,12,14,17,6.0,8.9,9.3,0.130,0.128,0.001,0.001,448,128,150,171,0.0119525,1.1713513,16.439,-2.701, -,0.0038067,1.3381863,-20.096,-52.967, -,0.0111701,-0.901,1.104674,0.0018989,-53.021,0.189528,0.0003912,-10.453
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,37, -, -,CO2 Lab.Tank,2461.4,2465.8,2473.5,12.1,10,12,14,6.0,9.4,9.3,0.082,0.080,0.001,0.000,276,80,88,107,0.0111974,1.0973576,-47.769,-65.700, -,0.0037987,1.3354019,-22.135,-54.937, -,0.0104159,-68.364,1.030851,0.0018952,-54.847,0.189164,0.0003908,-11.438
