ecl,name
12,C12:0
13,C13:0
13.527,iC14:0
14.011,C14:0
14.539,iC15:0
14.717,aC15:0
15.017,C15:0
15.026,C15:0(ASRB)
15.523,iC16:0*
15.531,iC16:0
15.601,ASRBa
15.771,SRB2b
15.917,SRB2a
16,C16:0
16.254,C16:1w7t
16.31,10MeC16:0
16.419,C16:1w7c
16.544,iC17:0
16.574,ASRBb+c
16.726,aC17:0
16.757,SRB2d
16.898,iC17:1w7c
16.971,SRB2f
17.04,C17:0
17.111,SRB2e
17.166,C16:2w4
17.406,cyC17:0
17.517,SRB2g
17.531,ASRBe+f
17.6,C16:3w4
17.921,ASRBg
17.923,C16:4w1?
18.038,C18:0
18.232,C18:1w9t
18.358,C18:1w9c
18.454,C18:1w7c
18.49,ASRBi
18.97,C18:2w6c
19,C19:0
19.355,C18:3w6(?)
19.379,cyC19:0
19.591,C18:3w4
19.693,C18:3w3
19.927,C20:0
20.082,C18:4w3
20.251,C20:1w9c
21.439,C20:4w6
21.664,C22:0
21.888,C20:4w3
22.146,C20:5w3
23.081,C21:5w3(?)
23.276,C24:0
23.885,C22:5w3
24.082,C22:6w3
